"year","Nsamples","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Country","am"
1992,210,0.00598011714290213,0.0550084379619755,0.0542262445451817,0.147347520009246,0.196048136319144,0.0199567150620944,0.0125595478460031,0.296721363462934,0.00936003473573478,0.00100745667885518,0.00412425308041797,0.163506375016244,0.00523784857571788,0.000231707772570154,0.0286842417909792,"USA",7.03309225198786
1993,144,0,0.0140114483253306,0.3119029849748,0.0341571817111737,0.132623093115064,0.153534640778579,0.0126015823983797,0.0100522878215841,0.225564795329557,0.00832690890991755,0.00121020181984711,0.000470400859109427,0.0856448003935073,0.00050019743876545,0.00939947612438559,"USA",6.24699985654479
1994,193,0,0.000516512203295941,0.0377491645023856,0.289369307213357,0.00911639157727651,0.13815150857457,0.20205851772062,0.00551909634397606,0.00233732275285874,0.233503874238802,0.000206746975459586,0.00333430783414599,0.000310475698542402,0.0694986489079387,0.00832812545677199,"USA",7.10511085944445
1995,112,0.00218027909389455,0.014180499924734,0.00444179251657896,0.0628757252033869,0.322873754502231,0.0088225927013587,0.0752938169013635,0.206760913905802,0.0119138672341101,0.00153568336692229,0.206184337934238,0.00346708713513432,0.00506655639504684,0.000424489094848651,0.0739786040903499,"USA",7.7575194590751
1996,158,0,0.204940138625408,0.199096142646538,0.0162945953993527,0.0729064777434721,0.196660188722125,0.00308877040888431,0.0337484460933982,0.102617932452664,0.00141773270679546,0.001823593862732,0.12981847931495,0,0.00137254816277873,0.0362149538609008,"USA",5.98650955505113
1997,192,0,0.00899581956415951,0.35090399991471,0.289180085380025,0.00565788436956923,0.0524499744186585,0.120160212690052,0.00656530929572122,0.030236780022453,0.0549716392944107,0.00228868187682498,0.00239772702561671,0.0526244483301447,0.000924562853245223,0.0226428749644089,"USA",5.37655768275059
1998,213,0,0.0630291302056718,0.240451076887251,0.189105665267889,0.268236598583835,0.0318038256504802,0.038800620150913,0.0895047337434117,0.00765820877102403,0.00524863601622071,0.0349538376555522,0.00218613926044304,0.000576470335527798,0.0229729217098898,0.00547213576189118,"USA",5.06681548913689
1999,469,0,0.104435362470872,0.255970832825365,0.199334781803194,0.174896016186429,0.110650451154211,0.0280030261099108,0.0325418418424089,0.0343473450099441,0.00683609573629314,0.0116983408822003,0.0195517406973195,0.00209576525346317,0.00304763551737868,0.0165907645110109,"USA",4.82842406972462
2000,504,0.010975637826142,0.0463049893412061,0.0994207925591,0.151231372497591,0.135263214480942,0.204355575420734,0.131299959003007,0.0698617272306467,0.0444681074371476,0.024108149603648,0.0203391980563852,0.0215152595049187,0.010595016180281,0.00733039452501652,0.0229306063332346,"USA",6.09474512431402
2001,511,0,0.211979915130739,0.193036213965895,0.129488932686543,0.184356402920012,0.094392712495615,0.0770743582672405,0.048106814421127,0.0125767417809796,0.0125454286431264,0.0111870691998502,0.00691928381807417,0.00619469421710548,0.00410143609240616,0.00803999636128738,"USA",4.63682272072947
2002,413,0,0.000415674430769698,0.630257258459199,0.166545240114914,0.055561763620203,0.0493893029114792,0.0298703812697285,0.0250141319505101,0.0180361667165049,0.00589696613003987,0.00479223413455737,0.00517372250901053,0.00149419458900456,0.00252397945422801,0.00502898370985143,"USA",4.00742384976208
2003,436,0,0.00144572190180706,0.0166009961147229,0.799938167722592,0.0929160347560185,0.0181873138961714,0.0248930246326922,0.0175630439023248,0.0128783943402279,0.0067028220256971,0.00386732771952456,0.0014386933801867,0.00211644427343815,0.00046165037282889,0.000990364961767801,"USA",4.43247773383957
2004,453,0,0,0.0700967567055963,0.0814347336775791,0.717336644149156,0.0530262494939936,0.0134622420759425,0.030788683510655,0.0175645853135388,0.00644484981239193,0.00461470447193029,0.00199991158189774,0.0017279561360123,0.000413660736093958,0.00108902233521241,"USA",5.12329555437512
2005,557,0.000253652806519059,0.0078521268185865,0.00541367934498389,0.0805220982061751,0.0604167798302537,0.700882121864551,0.0646980014387495,0.0216319187066055,0.0195097472796267,0.0161435857884791,0.00806742826924597,0.00945211269564057,0.0020171526944239,0.00118468967144193,0.00195490458471779,"USA",6.0989281832753
